lvl1,lvl2,questionnaire
TECHNICAL QUERIES,ADMIN CONSOLE,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User or email address of your authorised admin <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,REPORTING,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User or email address of your authorised admin <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,ACCESS/SUBSCRIPTION,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,UID ISSUE,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,HOW TO,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,OTHER,"<p>Please include the following details for consideration by our support agents: <br/>-Customer name/number <br/> - Order ID <br/> - S/P-User <br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,BADGE EXPIRED,"<p>Please include the following details for consideration by our support agents: <br/>-Your SAP Universal ID <br/>- S/P-User <br/>- Certificate name/code<br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,CERTIFICATION EXTENSION FOR PARTNERS,"<p>Please include the following details for consideration by our support agents: <br/>-Your SAP Universal ID <br/>- S/P-User <br/>- Certificate name/code<br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,DIGITAL BADGE MISSING,"<p>Please include the following details for consideration by our support agents: <br/>-Your SAP Universal ID <br/>- S/P-User <br/>- Certificate name/code<br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,EXAM CONTENT & SCORE REPORT,"<p>Please include the following details for consideration by our support agents: <br/>-Your SAP Universal ID <br/>- S/P-User <br/>- Certificate name/code<br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
TECHNICAL QUERIES,CONTENT ISSUE,"<p>Please include the following details for consideration by our support agents: <br/>-Your SAP Universal ID <br/>- S/P-User <br/>- Course name/code<br/>URL<br/> Please clearly state your request, including any affected user details and screenshots. One of our agents will be in touch with your shortly.</p>"
LEARNING AND CERTIFICATION ADVICE,CERTIFICATION INFORMATION,"<p>To better assist you, please provide the following information: <br/>- Which SAP Certificaion is you enquiry related to? (Please specify the exact exam name or code, if known) <br/> - In detail, the type of support your require (e.g. purchasing exam attempts, content advice, Stay Certified program, etc)</p>"
LEARNING AND CERTIFICATION ADVICE,COURSE AND DELIVERY INFORMATION,"<p>To better assist you, please provide the following information: <br/>- Course code <br/>- Course dates <br/>- Instructor-led class (in-person or virtual option) <br/>- In detail, the assistance you require</p>"
LEARNING AND CERTIFICATION ADVICE,CUSTOMER CERTIFICATIONS TRANSFER,"<p>To better assist you, please provide the following information: <br/>- Certification name or exam code <br/>- Donor Universal ID (the Universal ID to which the certification is bound to at the moment) <br/>- Receiver Universal ID (the Universal ID to which you would like to transfer your certification) <br/>Please note: there must be at least two email addresses (with different domains) linked to each Universal ID</p>"
LEARNING AND CERTIFICATION ADVICE,EDUCATION PARTNERS,"<p>To better assist you, please provide the following information: <br/>Are you already an SAP authorised Education Partner? <br/>If <b>yes</b>: Please describe your specific requirement in details (e.g. ordering a private partner class, scheduling on-demand partner managed courses, reselling SAP Learning Hub, etc) <br/>If <b>no</b>: Is your inquiry related to becoming an SAP authorised Education Partner? <br/>Other: If your inquiry does not fall into the above topics, please provide a detailed description of the assistance you require</p>"
LEARNING AND CERTIFICATION ADVICE,LEARNING HUB INFORMATION,"<p>To better assist you, please provide the following information: <br/>- Details about the assistance required (e.g. content advice, purchasing SAP Learning Hub, renewal/upsell/termination advice, etc.) <br/>- If your inquiry relates to an existing contract, please share the relevant contract/order ID</p>"
LEARNING AND CERTIFICATION ADVICE,LEARNING PORTAL INFORMATION,"<p>To better assist you, please provide the following information: <br/>- Which SAP product or exact course, learning journey from learning.sap.com is your inquiry related to? <br/>- In detail, the assistance you require</p>"
LEARNING AND CERTIFICATION ADVICE,ON DEMAND/3TORUN,"<p>To better assist you, please provide the following information: <br/>- Company name <br/>- Number of participants <br/>- Course code <br/>- Preferred course dates <br/>- Course language <br/>- Delivery method (in-person or virtual)</p>"
LEARNING AND CERTIFICATION ADVICE,PEOPLE TO WORK,"<p>To better assist you, please provide the following information: <br/><b>For SAP partners,</b> <br/>- Are you already an SAP authorised People to Work partner, or are you aiming to become one? <br/> <b>For private individuals,</b> <br/>- Are you an individual currently between jobs and interested in publicly funded SAP training? <br/>- Are you currently participating or have you recently completed a funded course in a People to Work class? <br/> <b>Other</b> <br/>- If your request does not fall under any of the above categories, please provide a detailed description of the assistance you require.</p>"
LEARNING AND CERTIFICATION ADVICE,STAY CERTIFIED INFORMATION,"<p>To better assist you, please provide the following information: <br/>- Which SAP Certification is your inquiry related to? Please specify the exact exam name or code, if known <br/>- In details, the support you require (e.g. how to access Stay Certified assessments, advice on the validity of SAP Certifications, etc)</p>"
LEARNING AND CERTIFICATION ADVICE,TRAINING CENTER INFORMATION,"<p>To better assist your, please provide the following information: <br/>- Which training center you would need more detailed information about (country, city) <br/>- Do you need information on how to travel to the training center? <br/>- Do you have any questions about the training center's infastructure (parking, facilities, catering, etc) <br/>- Would you like information on nearby accomodation options (e.g. hotel recommendations)?</p>"
LEARNING AND CERTIFICATION ADVICE,TRAINING DELIVERY,"<p>To better assist your, please provide the following information: <br/>- Course code <br/>- Course dates <br/>- In detail, the assistance you require</p>"
BOOKING & ORDER,SAP LEARNING CLASS SUPPORT,"<p>This category is for queries related to <strong>SAP Learning Class (instructor-led training)</strong> bookings and orders, including payment options queries.</p><p>Please provide the following information (wherever applicable) for efficient support:</p><ul><li>Shopping Cart ID</li><li>Contact Person ID / S-user ID / P-user ID</li><li>Company Name</li><li>Email</li><li>Course Code / ID</li><li>Course Dates</li></ul><p>For invoice corrections, please reach out to <strong>Cash Collection team</strong> (contact details can be found on your invoice).</p>"
BOOKING & ORDER,SAP LEARNING CLASS: PARTNER DELIVERY SUPPORT,"<p>*** This category is only for courses delivered by our Partners. ***</p><p>Please provide the following information (wherever applicable) for efficient support.</p><ul><li>Course Code / ID</li><li>Schedule (Start / End Dates)</li><li>Delivery Method (VLC or Classroom)</li><li>Location</li><li>Language</li></ul>"
BOOKING & ORDER,SAP CERTIFICATION: ORDER & ACTIVATION CODE,"<p>This category is for queries related to SAP Certification subscriptions purchased on SAP Training Shop, including payment options queries, or for queries related to <strong>SAP Certification Activation Code</strong> redemption.</p><p>Please provide the following information (wherever applicable) for efficient support.</p><ul><li>Shopping Cart ID / Activation Code</li><li>Contact Person ID / S-user ID / P-user ID</li><li>Company Name</li><li>Email</li><li>Course Code / ID</li></ul><p>For invoice corrections, please reach out to <strong>Cash Collection team</strong> (contact details can be found on your invoice).</p><p>If you cannot access your SAP Certification subscription or schedule an exam, please raise a case with <strong>Technical Queries</strong> service category.</p><p>For queries related to orders or purchases made via sap.com/SAP Store for SAP Learning Hub or SAP Certification exam, two attempts, including invoicing, renewals and cancellations, please reach out to SAP Store team using the following link:</p><p><a href="https://store.sap.com/dcp/en/supportform" target="_blank">https://store.sap.com/dcp/en/supportform</a></p>"
BOOKING & ORDER,SAP LEARNING HUB: ACTIVATION CODE,"<p>This category is for queries related to SAP Learning Hub Activation Code redemption.</p><p>Please provide the following information for efficient support.</p><ul><li>Shopping Cart ID / Activation Code</li><li>Contact Person ID / S-user ID / P-user ID</li><li>Company Name</li><li>Email</li></ul><p>If you cannot access your SAP Learning Hub subscription or schedule an exam, please raise a case with <strong>Technical Queries</strong> service category.</p><p>For queries related to orders or purchases made via sap.com/SAP Store for SAP Learning Hub or SAP Certification exam, two attempts, including invoicing, renewals and cancellations, please reach out to SAP Store team using the following link:</p><p><a href="https://store.sap.com/dcp/en/supportform" target="_blank">https://store.sap.com/dcp/en/supportform</a></p>"
BOOKING & ORDER,SAP LEARNING HUB: PARTNER RESELLER BOOKINGS,"<p><strong>*** This category is only for queries related to SAP Learning Hub indirect purchases made by Partners on SAP Training Shop. ***</strong></p><p>Please provide the following information (wherever applicable) for efficient support.</p><ul><li>Shopping Cart ID</li><li>Contact Person ID / S-user ID / P-user ID</li><li>Company Name</li><li>Email</li></ul><p>For invoice corrections, please reach out to <strong>Cash Collection team</strong> (contact details can be found on your invoice).</p>"
BOOKING & ORDER,OTHERS,"<p>In order to provide needed support, please make sure to select correct service category!</p><p>If you are encountering any issues with SAP Learning Hub or SAP Certification subscriptions (including exam scheduling issues), please raise a case with <strong>Technical Queries</strong> service category.</p><p>For queries related to orders or purchases made via sap.com/SAP Store for SAP Learning Hub or SAP Certification exam, two attempts, including invoicing, renewals and cancellations, please reach out to SAP Store team using the following link:</p><p><a href="https://store.sap.com/dcp/en/supportform" target="_blank">https://store.sap.com/dcp/en/supportform</a></p><p>If you have another related case raised to us, please provide the Case ID number as well.</p>"
